Delta,Latency,Num_of_topics
0.1,0.3352813720703125,14
0.1,0.3017110824584961,14
0.1,0.28374481201171875,14
0.1,0.17903614044189453,14
0.1,0.27778124809265137,14
0.101,0.3404667377471924,14
0.099,0.3040497303009033,14
0.1,0.2841203212738037,14
0.1,0.17563724517822266,14
0.099,0.2761249542236328,14
0.101,0.3351020812988281,14
0.1,0.3011322021484375,14
0.101,0.2833685874938965,14
0.099,0.17810964584350586,14
0.105,0.30750274658203125,14
0.095,0.3356170654296875,14
0.1,0.2987353801727295,14
0.099,0.27900028228759766,14
0.102,0.23511743545532227,14
0.099,0.3371901512145996,14
0.1,0.39531397819519043,14
0.101,0.2727503776550293,14
0.099,0.2529487609863281,14
0.1,0.2051982879638672,14
0.1,0.26871490478515625,14
0.101,0.33049440383911133,14
0.099,0.2927837371826172,14
0.1,0.2716677188873291,14
0.101,0.21145963668823242,14
0.1,0.33965158462524414,14
0.099,0.3313734531402588,14
0.1,0.2919046878814697,14
0.1,0.27403807640075684,14
0.099,0.20681476593017578,14
0.101,0.31400299072265625,14
0.1,0.3275892734527588,14
0.1,0.2947423458099365,14
0.1,0.2702031135559082,14
0.1,0.22396278381347656,14
0.099,0.29946398735046387,14
0.101,0.3221397399902344,14
0.1,0.288348913192749,14
0.1,0.268618106842041,14
